##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	29_4E_fox_S21_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4827433
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1109	100-101	0.43961181368862157
1110	1	-0.39336029843694575
1110	2	-0.1513944716139335
1110	3	-0.796450092535288
1110	4	-0.7285293256252814
1110	5	-0.4574346807009846
1110	6	-0.7866022266306842
1110	7	-0.589344013878339
1110	8	-0.4830382976021639
1110	9	-0.18800115991684407
1110	10-11	-0.16128426931256
1110	12-13	-0.1800459222627282
1110	14-15	-0.051389081397637426
1110	16-17	-0.13320420115231713
1110	18-19	-0.14747950973390545
1110	20-21	0.12431135719501185
1110	22-23	-0.07011401021040342
1110	24-25	0.09309341204427568
1110	26-27	0.1840700058265412
1110	28-29	-0.07060565226668558
1110	30-31	0.08390426068823587
1110	32-33	0.15881492546487408
1110	34-35	0.12696581971889032
1110	36-37	0.006970267141241493
1110	38-39	-0.07824840103832287
1110	40-41	-0.04316096388212287
1110	42-43	0.19517734158072386
1110	44-45	0.19507264144275638
1110	46-47	0.2284197411715212
1110	48-49	0.21886291108890532
1110	50-51	0.23507908835534863
1110	52-53	0.04887121894758195
1110	54-55	0.2574656378314941
1110	56-57	0.18681975409906215
1110	58-59	0.30480156088985666
1110	60-61	0.3423238781142359
1110	62-63	0.12399568355604629
1110	64-65	0.271563149264864
1110	66-67	0.29345820583778703
1110	68-69	0.3171450995972691
1110	70-71	0.33592509881601984
1110	72-73	0.16216162714640348
1110	74-75	0.15620909084989165
1110	76-77	0.2112231790332828
1110	78-79	0.2863341762262479
1110	80-81	0.20803155619503144
1110	82-83	0.10395187916357429
1110	84-85	0.18401769148090352
1110	86-87	0.2528829960907828
1110	88-89	0.19897493491864537
1110	90-91	0.18262520348618239
1110	92-93	0.16363916258850963
1110	94-95	0.20278231523451495
1110	96-97	0.11473037151420584
1110	98-99	0.2127688456984771
1110	100-101	0.2875252020967025
1111	1	-0.11999472105213016
1111	2	-0.17015200325363722
1111	3	-0.40243514467286445
1111	4	-0.3418892503043338
1111	5	-0.17369975079635225
1111	6	0.04740088871904646
1111	7	-0.16951292254260864
1111	8	0.03700881433776715
1111	9	0.1066015966405729
1111	10-11	0.04980771166090392
1111	12-13	0.08056835054667033
1111	14-15	0.09020483621826259
1111	16-17	0.10213693327847295
1111	18-19	0.17044293005387345
1111	20-21	0.3012067403339529
1111	22-23	0.1368774871022893
1111	24-25	0.21473314202305716
1111	26-27	0.23133371454679263
1111	28-29	0.0941409574730585
1111	30-31	0.07255340941983235
1111	32-33	0.2641613218195147
1111	34-35	0.09291849148571174
1111	36-37	0.11748157346154642
1111	38-39	0.08334309918251392
1111	40-41	-0.037012055981243464
1111	42-43	0.10522707085065264
1111	44-45	0.20515186111490635
1111	46-47	0.30938407277995594
1111	48-49	0.28743445780369825
1111	50-51	0.20666356358977112
1111	52-53	0.13144048276899412
1111	54-55	0.384773977480954
1111	56-57	0.3011230081309364
1111	58-59	0.2547705709756656
1111	60-61	0.24959678384129091
1111	62-63	0.28071695063457014
1111	64-65	0.24392964271518736
1111	66-67	0.3144038889700127
1111	68-69	0.31757291490828266
1111	70-71	0.15175708258857412
1111	72-73	0.11541025168496333
1111	74-75	0.13166344297892607
1111	76-77	0.3280231205068702
1111	78-79	0.3944049132045677
1111	80-81	0.3506285564440361
1111	82-83	0.2381557019194389
1111	84-85	0.16439430527387344
1111	86-87	0.11514486904486176
1111	88-89	0.1643357538521215
1111	90-91	0.20399961072455852
1111	92-93	0.1889029858169522
1111	94-95	0.2892775740502884
